date,A005930,A000660,A035720,A035420,A114800
2012-11-01,25940.0,25500.0,18660.0,79304.87400000001,7900.0
2012-11-02,26540.0,25950.0,18500.0,78051.04200000003,7795.0
2012-11-05,26820.0,26150.0,18620.0,79931.79000000002,7840.0
2012-11-06,26980.0,25900.0,18260.0,79775.06100000003,7755.0
2012-11-07,27240.0,26000.0,17960.0,79461.60300000003,7715.0
2012-11-08,27000.0,26050.0,17800.0,81499.08000000003,7835.0
2012-11-09,26820.0,25400.0,17200.0,79775.06100000003,7880.0
2012-11-12,26900.0,25300.0,17140.0,80558.70600000003,7890.0
2012-11-13,26980.0,25350.0,17060.0,78677.95800000001,7940.0
2012-11-14,27100.0,26600.0,16800.0,73976.08800000003,7900.0
2012-11-15,26620.0,26150.0,16880.0,75543.37800000001,8010.0
2012-11-16,26140.0,24950.0,16800.0,76483.75200000002,8060.0
2012-11-19,26640.0,25200.0,17000.0,77424.12600000003,7965.0
2012-11-20,27280.0,25350.0,17560.0,82282.72500000003,7905.0
2012-11-21,27680.0,24900.0,17380.0,81969.26700000004,7935.0
2012-11-22,28340.0,25600.0,17420.0,82125.99600000001,7850.0
2012-11-23,28740.0,25700.0,17640.0,83223.09900000003,7790.0
2012-11-26,28080.0,25800.0,17880.0,83066.37000000002,7815.0
2012-11-27,28320.0,25550.0,17780.0,80715.43500000001,7725.0
2012-11-28,28260.0,25350.0,17860.0,80245.24800000004,7775.0
2012-11-29,28280.0,25400.0,17640.0,79618.33200000002,7685.0
2012-11-30,28120.0,24400.0,16980.0,78991.41600000001,7665.0
2012-12-03,28600.0,24400.0,17180.0,82125.99600000001,7670.0
2012-12-04,28600.0,24450.0,17720.0,82596.18300000003,7695.0
2012-12-05,29100.0,24850.0,18100.0,79304.87400000001,7630.0
2012-12-06,29080.0,24850.0,17720.0,73035.71400000004,7620.0
2012-12-07,29600.0,25900.0,18280.0,74603.00400000003,7565.0
2012-12-10,29820.0,26000.0,18300.0,75856.83600000001,7575.0
2012-12-11,29520.0,25950.0,18380.0,75856.83600000001,7545.0
2012-12-12,29800.0,26050.0,18340.0,73662.63000000003,7490.0
2012-12-13,30660.0,26250.0,18400.0,75073.19100000004,7405.0
2012-12-14,30300.0,26200.0,18360.0,73976.08800000003,7385.0
2012-12-17,30060.0,26650.0,17720.0,71154.96600000001,7430.0
2012-12-18,30300.0,26500.0,17840.0,72408.79800000001,7395.0
2012-12-20,30060.0,26300.0,17800.0,67863.65700000004,7400.0
2012-12-21,28840.0,25400.0,17780.0,71154.96600000001,7465.0
2012-12-24,29480.0,25150.0,18000.0,72095.34000000001,7435.0
2012-12-26,29400.0,25450.0,17680.0,70841.50800000003,7440.0
2012-12-27,29920.0,25750.0,17840.0,70528.05000000003,7405.0
2012-12-28,30440.0,25750.0,18220.0,71154.96600000001,7375.0
2013-01-02,31520.0,26600.0,18660.0,71311.69500000004,7230.0
2013-01-03,30860.0,26650.0,18740.0,69274.21800000002,7255.0
2013-01-04,30500.0,26350.0,19980.0,70998.23700000002,7305.0
2013-01-07,30400.0,25900.0,20740.0,75229.92000000001,7300.0
2013-01-08,30000.0,26250.0,20600.0,74289.54600000003,7380.0
2013-01-09,30000.0,26050.0,20500.0,73192.44300000001,7410.0
2013-01-10,30600.0,26800.0,20800.0,71781.88200000001,7340.0
2013-01-11,30660.0,27100.0,20660.0,71625.15300000003,7395.0
2013-01-14,31040.0,26950.0,20800.0,74289.54600000003,7355.0
2013-01-15,30240.0,25950.0,20360.0,73505.90100000001,7440.0
2013-01-16,29840.0,26200.0,20460.0,72722.25600000002,7495.0
2013-01-17,29380.0,25900.0,20580.0,73505.90100000001,7480.0
2013-01-18,29600.0,25600.0,20600.0,74289.54600000003,7455.0
2013-01-21,29080.0,25750.0,20540.0,76170.29400000002,7450.0
2013-01-22,29600.0,25050.0,20600.0,77267.39700000001,7405.0
2013-01-23,29460.0,24650.0,20900.0,77580.85500000001,7480.0
2013-01-24,29060.0,24250.0,20600.0,77424.12600000003,7545.0
2013-01-25,28340.0,24200.0,20600.0,77894.31300000002,7625.0
2013-01-28,27440.0,24400.0,20600.0,78051.04200000003,7645.0
2013-01-29,28180.0,24200.0,20740.0,76013.56500000003,7580.0
2013-01-30,28800.0,24350.0,20800.0,76640.48100000001,7555.0
2013-01-31,28960.0,24400.0,20420.0,75543.37800000001,7575.0
2013-02-01,28820.0,24200.0,21000.0,77110.66800000003,7585.0
2013-02-04,28740.0,24300.0,21140.0,76170.29400000002,7615.0
2013-02-05,28700.0,23700.0,20860.0,72565.52700000003,7675.0
2013-02-06,28540.0,24500.0,21660.0,70998.23700000002,7685.0
2013-02-07,28400.0,24850.0,21500.0,73192.44300000001,7695.0
2013-02-08,29240.0,24750.0,21700.0,73976.08800000003,7610.0
2013-02-12,29360.0,25000.0,21720.0,73662.63000000003,7625.0
2013-02-13,29740.0,25500.0,21940.0,76327.02300000003,7475.0
2013-02-14,29800.0,25700.0,20600.0,76170.29400000002,7450.0
2013-02-15,29960.0,25650.0,19820.0,77267.39700000001,7460.0
2013-02-18,29800.0,25900.0,19700.0,76953.93900000001,7465.0
2013-02-19,29840.0,25850.0,19480.0,77737.58400000003,7445.0
2013-02-20,30900.0,26500.0,19500.0,81969.26700000004,7275.0
2013-02-21,31000.0,26600.0,19320.0,81969.26700000004,7315.0
2013-02-22,30600.0,26400.0,19420.0,82596.18300000003,7300.0
2013-02-25,30600.0,26300.0,19320.0,82282.72500000003,7325.0
2013-02-26,30540.0,26550.0,19140.0,82909.64100000003,7365.0
2013-02-27,30540.0,26250.0,19140.0,82752.91200000003,7360.0
2013-02-28,30880.0,26500.0,19120.0,82439.45400000001,7285.0
